ProvID,Name,Capital,Owner,Cores,Culture,Religion,devtax,devprod,devmanp,tradeg,area,region,segion,iscity,inhre,ExtraCost,HasFort
1,Stockholm,Stockholm,SWE,SWE,swedish,catholic,5,5,3,grain,ostra_svealand,scandinavia,europe,yes,no,0,no
2,Östergötland,Linköping,SWE,SWE,swedish,catholic,2,2,2,grain,gotaland,scandinavia,europe,yes,no,0,no
3,Kalmar,Kalmar,SWE,SWE,swedish,catholic,2,2,1,naval_supplies,gotaland,scandinavia,europe,yes,no,0,yes
4,Bergslagen,Västerås,SWE,SWE,swedish,catholic,2,3,2,iron,ostra_svealand,scandinavia,europe,yes,no,0,no
5,Värmland,Karlstad,SWE,SWE,swedish,catholic,1,1,1,iron,svealand,scandinavia,europe,yes,no,0,no
6,Lund,Lund,DAN,DAN,danish,catholic,7,7,6,fish,skaneland,scandinavia,europe,yes,no,0,yes
7,Skaraborg,Skara,SWE,SWE,swedish,catholic,2,2,2,grain,vastra_gotaland,scandinavia,europe,yes,no,0,no
8,Dalaskogen,Mora,SWE,SWE,swedish,catholic,1,2,2,copper,svealand,scandinavia,europe,yes,no,10,no
9,Hälsingland,Gävle,SWE,SWE,swedish,catholic,2,2,1,fish,norrland,scandinavia,europe,yes,no,0,no
10,Jämtland,Frösön,NOR,NOR,norwegian,catholic,1,1,1,fur,northern_norway,scandinavia,europe,yes,no,0,no
11,Västerbotten,Umeå,SWE,SWE,swedish,catholic,1,1,1,fur,norrland,scandinavia,europe,yes,no,0,no
12,Sjælland,København,DAN,DAN,danish,catholic,8,8,4,fish,denmark,scandinavia,europe,yes,no,20,yes
13,Slesvig,Slesvig,DAN,DAN,danish,catholic,4,4,3,grain,denmark,scandinavia,europe,yes,no,0,no
14,Fyn,Odense,DAN,DAN,danish,catholic,5,5,4,fish,denmark,scandinavia,europe,yes,no,0,no
15,Vestjylland,Ribe,DAN,DAN,danish,catholic,2,2,1,grain,jutland,scandinavia,europe,yes,no,0,no
16,Bohuslän,Marstrand,NOR,NOR,norwegian,catholic,2,2,2,fish,vastra_gotaland,scandinavia,europe,yes,no,0,no
17,Akershus,Oslo,NOR,NOR,norwegian,catholic,3,3,2,fish,eastern_norway,scandinavia,europe,yes,no,0,no
18,Lappland,Arvidsjaur,SWE,SWE,sapmi,catholic,1,1,1,unknown,norrland,scandinavia,europe,no,no,0,no
19,Österbotten,Korsholm,FIN,FIN,finnish,catholic,1,1,1,fur,bothnia,scandinavia,europe,yes,no,0,no
20,Trøndelag,Trondheim,NOR,NOR,norwegian,catholic,3,3,2,fish,northern_norway,scandinavia,europe,yes,no,0,yes
21,Hålogaland,Steig,NOR,NOR,norwegian,catholic,2,2,1,fish,northern_norway,scandinavia,europe,yes,no,0,no
22,Opplanda,Hamar,NOR,NOR,norwegian,catholic,1,1,1,naval_supplies,eastern_norway,scandinavia,europe,yes,no,0,no
23,Bergenhus,Bergen,NOR,NOR,norwegian,catholic,3,3,1,naval_supplies,western_norway,scandinavia,europe,yes,no,15,no
24,Stavanger,Stavanger,NOR,NOR,norwegian,catholic,3,2,1,fish,western_norway,scandinavia,europe,yes,no,0,no
25,Gotland,Visby,DAN,GOT&DAN&SWE,swedish,catholic,4,4,2,wool,gotaland,scandinavia,europe,yes,no,0,yes
26,Halland,Halmstad,DAN,DAN,danish,catholic,3,3,2,grain,skaneland,scandinavia,europe,yes,no,0,no
27,Åbo,Åbo,FIN,FIN,swedish,catholic,3,3,2,grain,finland,scandinavia,europe,yes,no,0,yes
28,Nyland,Borgå,FIN,FIN,finnish,catholic,2,2,2,naval_supplies,finland,scandinavia,europe,yes,no,0,no
29,Tavastland,Tavastehus,FIN,FIN,finnish,catholic,1,1,1,fur,finland,scandinavia,europe,yes,no,0,no
30,Viborg,Viborg,KRL,KRL,karelian,orthodox,2,2,2,fur,karelia,russia,eastern_europe,yes,no,0,yes
31,Savolax,Olofsborg,FIN,FIN,finnish,catholic,1,1,1,fur,finland,scandinavia,europe,yes,no,0,no
32,Kexholm,Korela,KRL,KRL,karelian,orthodox,2,2,1,fur,north_karelia,russia,eastern_europe,yes,no,0,no
33,Neva,Oreshek,KRL,KRL,karelian,orthodox,3,3,1,fur,karelia,russia,eastern_europe,yes,no,10,no
34,Ingermanland,Koporye,KRL,KRL,karelian,orthodox,3,3,1,fur,karelia,russia,eastern_europe,yes,no,0,no
35,Ösel,Arensburg,EST,EST,estonian,catholic,1,1,1,grain,estonia_ingria,baltic,eastern_europe,yes,no,0,no
36,Reval,Reval,EST,EST,estonian,catholic,4,4,2,grain,estonia_ingria,baltic,eastern_europe,yes,no,0,yes
37,Livland,Fellin,LVA,LVA,latvian,catholic,3,3,2,grain,livonia,baltic,eastern_europe,yes,no,0,no
38,Riga,Riga,KUR,KUR,latvian,catholic,5,5,1,naval_supplies,curonia,baltic,eastern_europe,yes,no,10,yes
39,Goldingen,Goldingen,KUR,KUR,latvian,catholic,3,3,1,naval_supplies,curonia,baltic,eastern_europe,yes,no,0,no
40,Memel,Memel,PRU,PRU,prussian,catholic,3,3,3,grain,east_prussia,baltic,eastern_europe,yes,no,10,no
41,Königsberg,Königsberg,PRU,PRU,prussian,catholic,5,5,3,naval_supplies,east_prussia,baltic,eastern_europe,yes,no,0,yes
42,Warmia,Allenstein,DNZ,DNZ,kashubian,catholic,3,3,2,naval_supplies,pomerelia,poland,eastern_europe,yes,no,0,no
43,Danzig,Danzig,DNZ,DNZ,kashubian,catholic,7,7,2,grain,pomerelia,poland,eastern_europe,yes,no,25,no
1064,Tomsk,Tomsk,XXX,none,ostyaki,tengri,1,1,1,unknown,central_siberia,ural,tartary,no,no,0,no
1067,Turukhan,Turukhan,XXX,none,samoyed,tengri,1,1,1,unknown,central_siberia,ural,tartary,no,no,0,no
1069,Surgut,Sörgüt,XXX,none,samoyed,tengri,1,1,1,unknown,central_siberia,ural,tartary,no,no,0,no
1070,Narim,Narim,XXX,none,samoyed,tengri,1,1,1,unknown,central_siberia,ural,tartary,no,no,0,no
1060,Irkutsk,Irkutsk,XXX,none,buryat,tengri,1,1,1,unknown,irkutsk,ural,tartary,no,no,0,no
1062,Angara,Angara,XXX,none,buryat,tengri,1,1,1,unknown,irkutsk,ural,tartary,no,no,0,no
1063,Sayan,Sayan,XXX,none,buryat,tengri,1,1,1,unknown,irkutsk,ural,tartary,no,no,0,no
2442,Ust-Kut,Ust-Kut,XXX,none,buryat,tengri,1,1,1,unknown,irkutsk,ural,tartary,no,no,0,no
2443,Kan,Kansk,XXX,none,buryat,tengri,1,1,1,unknown,irkutsk,ural,tartary,no,no,0,no
1074,Sibir,Qashliq,SHY,SIB&SHY,ostyaki,sunni,2,2,2,fur,ishim,ural,tartary,yes,no,0,no
1075,Tyumen,Chimgi-Tura,SHY,SIB&SHY,siberian,sunni,4,4,4,fur,ishim,ural,tartary,yes,no,0,no
1076,Kurgan,Kurgan,SHY,SIB&SHY,siberian,sunni,3,3,3,fur,ishim,ural,tartary,yes,no,0,no
56,Osnabrück,Osnabrück,MUN,MUN,hannoverian,catholic,2,2,2,salt,westphalia,low_countries,europe,yes,yes,0,no
2369,Lower Ishim,Zhanibek,SHY,KZH&SHY,khazak,sunni,1,1,1,iron,ishim,ural,tartary,yes,no,0,no
1072,Obdorsk,Obdorsk,XXX,none,samoyed,tengri,1,1,1,unknown,kara,ural,tartary,no,no,0,no
1073,Berezov,Berezov,XXX,none,samoyed,tengri,1,1,1,unknown,kara,ural,tartary,no,no,0,no
2430,Baykha,Troitskiy,XXX,none,samoyed,tengri,1,1,1,unknown,kara,ural,tartary,no,no,0,no
2445,Mangazea,Mangazea,XXX,none,samoyed,tengri,3,3,1,fur,kara,ural,tartary,no,no,10,no
1059,East Tunguska,Kezemskoe,XXX,none,tungus,tengri,1,1,1,unknown,tunguska,west_siberia,tartary,no,no,0,no
1061,West Tunguska,Novoselovo,XXX,none,tungus,tengri,1,1,1,unknown,tunguska,west_siberia,tartary,no,no,0,no
64,Landshut,Landshut,BAV,BAV,bavarian,catholic,5,5,2,salt,lower_bavaria,south_german,europe,yes,yes,0,yes
65,München,München,BAV,BAV,bavarian,catholic,6,6,3,grain,upper_bavaria,south_german,europe,yes,yes,0,yes
66,Bamberg,Bamberg,WBG,WBG,franconian,catholic,2,2,2,wine,franconia,south_german,europe,yes,yes,0,no
67,Nürnberg,Nürnberg,NUM,NUM,franconian,catholic,8,8,3,wine,franconia,south_german,europe,yes,yes,0,no
